Feed_ID,Feed_name,Catergory,Price(Won/kg),Concentrate(%),Forage(%),DM(%AF),NDF (%DM),Lignin (%NDF),CP (%DM),Sol-P (%CP),NPN (%Sol-P),NDICP (%CP),ADICP (%CP),Starch (%NSC),Crude fat (%DM),Crude ash (%DM),peNDF (%NDF),CHO-A (%/hr),CHO-B1 (%/hr),CHO-B2 (%/hr),CHO-C (%/hr),Protein-A (%/hr),Protein-B1 (%/hr),Protein-B2 (%/hr),Protein-B3 (%/hr),Protein-C (%/hr),ID-CHO-A (%),ID-CHO-B1 (%),ID-CHO-B2 (%),ID-CHO-C (%),ID-Protein-A (%),ID-Protein-B1 (%),ID-Protein-B2 (%),ID-Protein-B3 (%),ID-Protein-C (%),ID-Fat (%),ID-Ash (%),Methionine (%UIP),Lysine (%UIP),Arginine (%UIP),Threonine (%UIP),Leucine (%UIP),Isoleucine (%UIP),Valine (%UIP),Histidine (%UIP),Phenylalanine (%UIP),Tryptophan (%UIP),TDN (%DM),ME (Mcal/kg),NEm (Mcal/kg),NEg (Mcal/kg),RUP-3X (%CP),RUP-1X (%CP),Ca (%),P (%),Mg (%),Cl (%),K (%),0 (%),S (%),Co (mg/kg),Cu (mg/kg),I (mg/kg),Fe (mg/kg),Mn (mg/kg),Se (mg/kg),Zn (mg/kg),Vit A (1000 IU/kg),Vit D (1000 IU/kg),Vit E (IU/kg),Ca-Bio,P-Bio,Mg-Bio,Cl-Bio,K-Bio,0-Bio,S-Bio,Co-Bio,Cu-Bio,I-Bio,Fe-Bio,Mn-Bio,Se-Bio,Zn-Bio,VitA-Bio,VitD-Bio,VitE-Bio,Starch,Sugar,Lactic,Acetic,Proprionic,Butyric,Isobutyric,pH,AmmoniaCPE
813,DDGS CORN-USA,Energy,155,100,0,87.88,24.04,11,27.01,14,67,44,18,100,8.01,4.22,30,300,17,7,0,100000,150,6,0.5,0,100,75,20,0,100,100,100,80,0,95,50,1.2,2.06,4.15,3.12,9.07,2.78,5.24,1.82,4.2,1.64,81.815,2.86169,1.9689,1.36234,68,54.49107738,0.04,0.82,0.32,0.12,1.02,0.29,0.48,0.08,7,0.03,250,20,0.35,50,1,0,67,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
814,DL-metionine(98%),Non calory,0,100,0,98.5,0,0,59.532995,72.47612521,0,0,5,0,29.5,0.707614,0,0,0,0,0,100000,7,7,7,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,100.507614,0,4.1,3.01,50.9,9.914733838,0.020305,0.081218,2.517766,2.101523,0.00203,0.009137,22.030457,0.052549,27.325276,0.021019,296.374146,7.356805,0.872307,32.580137,57.803468,0,131.371519,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
815,expand corn,Starch,0,100,0,84.66,7.701394,2.22,8.303803,8.999996748,100,15.9,5.3,92.61527077,3.543586,1.370187,20,50,30,6,0,100000,135,10,0.15,0,100,85,20,0,100,100,100,80,0,95,50,0.99,2.47,4.11,3.33,12.1,3.85,4.78,2.7,4.99,0.37,95.303922,3.522655,2.452563,1.726282,33,55.00000421,0.035436,0.295299,0.129931,0.05906,0.389794,0.011812,0.129931,0.11812,4.134184,0.05906,35.435861,5.905977,0.11812,11.811954,2.59863,0,25.986298,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
816,full fat soybean,Energy,0,100,0,93.25,8.504021,1.54,43.345845,9.999998846,85.7,15,6,5.999999551,20.418231,5.469169,30,300,25,5,0,100000,150,5,0.18,0,100,75,20,0,100,100,100,80,0,95,50,1.02,5.77,6.42,3.56,7.15,4.61,4.91,2.96,4.81,1.64,107.258123,3.819925,2.68489,1.915335,54.3,44.99999942,0.335657,0.600536,0.257373,0.032172,2.037534,0.039678,0.353887,0,21.447721,0,97.587131,41.823056,0.128686,66.487936,0,0,39.678284,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
817,gluen feed loc,Fiber,0,100,0,93.78,30.870122,2.22,22.328855,51.99999731,100,8,2,53.00000096,2.68714,5.480913,40,300,50,5,0,100000,150,4,0.5,0,100,75,20,0,100,100,100,80,0,95,50,2.09,1.24,3.17,2.93,16.22,4.34,5.04,2.45,6.48,0.37,84.941245,2.961666,1.999787,1.346268,32.8,27.99999821,0.213265,0.94903,0.383877,0.234592,1.066325,0.277245,0.405204,0.095969,7.464278,0.074643,134.357006,30.923438,0.287908,72.51013,2.559181,0,21.326509,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
818,HI NDF            PL,Fiber,0,0,100,90.078995,68.7863,12.5,7.027318,25,96,31,6.5,25.80611767,4.74721,3.53136,100,250,30,3,0,100000,135,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,0.67,2.83,2.83,2.83,5.49,2.83,3.83,1,3.5,4.5,54.03474,1.758243,0.981697,0.468039,40,44.16437395,0.29837,0.165347,0.284187,0.082725,1.051125,0.02297,0.204725,0.059305,12.63275,0.044358,100.7435,90.072,0.02,21.4445,0.05,0,0.82375,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
819,HI NDF            PL,Fiber,0,0,100,90.078995,68.7863,12.5,7.027318,25,96,31,6.5,25.80611767,4.74721,3.53136,100,250,30,3,0,100000,135,11,0.09,0,100,75,20,0,100,100,100,80,0,95,50,0.67,2.83,2.83,2.83,5.49,2.83,3.83,1,3.5,4.5,54.03474,1.758243,0.981697,0.468039,40,44.16437395,0.29837,0.165347,0.284187,0.082725,1.051125,0.02297,0.204725,0.059305,12.63275,0.044358,100.7435,90.072,0.02,21.4445,0.05,0,0.82375,0.3,0.64,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
820,limestone coarse,Non calory,0,100,0,99,0,0,0,0,0,0,0,0,0,98.989899,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.383838,0.010101,0.474747,0.03,0.12,0.06,0.04,0,0,0,3500,0,0,0,0,0,0,0.7,0.7,0.2,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
821,L-lysine(78%),Non calory,0,100,0,100,0,0,94.4,95,0,0,5,0,29.5,0.5,0,0,0,0,0,100000,7,7,7,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,96.5,0,4.1,3.01,50.9,5,0.06,0.08,0.003,19.1,0.14,0.011,0,0.052549,27.325276,0.021019,296.374146,7.356805,0.872307,32.580137,57.803468,0,131.371519,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
822,L-threonine,Non calory,0,100,0,99.999,0,0,72.400724,90.05524862,0,0,5,0,29.5,0.500005,0,0,0,0,0,100000,7,7,7,0,100,75,20,0,100,100,100,80,0,95,50,100,0,0,0,0,0,0,0,0,0,97.500975,0,4.1,3.01,50.9,6.519271824,0.06,0.08,0.003,19.1,0.14,0.011,0,0.052549,27.325276,0.021019,296.374146,7.356805,0.872307,32.580137,57.803468,0,131.371519,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
823,MGO(50%),Non calory,0,100,0,98,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.102041,0,0,0,0,0,0,0,0,774500,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
824,molasses-mixer,Energy,0,100,0,77.16,0,0,7.089165,96.00000846,100,0,0,0,0.129601,12.700881,0,500,30,3,0,100000,300,11,0.25,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,85.472654,3.062558,2.08297,1.417276,0,40,0.933126,0.103681,0.388802,2.099533,4.173147,0.181441,0.453603,1.166407,76.464489,2.034733,241.057543,54.432348,0,28.512182,0,0,6.480041,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
825,niacin(-100%),,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,PALM KERNEL MEAL,Protein,0,100,0,89.14,57.6,2.5,16.12,7,0,5,2,40,7.34,4.84,30,300,25,6,0,100000,230,11,0.2,0,100,75,20,0,100,100,100,80,0,95,50,0.83,6.08,7.69,3.03,6.13,4.25,3.79,2.27,3.88,1.64,75.3192,1.98456,1.21404,0.69849,32.8,40,0.2,0.49,0.19,0.12,0.52,0.02,0.25,0.12,10,0,0,10,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
827,potassium chlorid(50%),Non calory,0,100,0,99.5,0,0,0,0,0,0,0,0,0,99.698492,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050251,0,0.100503,47.688442,50.351759,1.005025,0.180905,0,0,0,600,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
828,rice bran hifat,Energy,0,100,0,89.84,22.673642,16.6,16.028495,26.00000187,80,15.5,3.1,64.80000025,22.105966,9.973286,10,300,40,8,0,100000,250,12,0.35,0,100,75,20,0,100,100,100,80,0,95,50,1.88,4.31,7.01,3.5,6.64,3.28,4.96,2.55,4.38,0.88,95.498442,3.732369,2.616863,1.860374,49.5,45.00000156,0.144702,2.03789,0.838624,0.077916,1.976959,0.011131,0.200356,0.111309,11.130899,0.055654,174.75512,253.784506,0.445236,33.392698,1.669635,0,66.785396,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
829,salt,Non calory,0,100,0,99,0,0,0,0,0,0,0,0,0,99.929293,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.272727,0,39.737374,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
830,sodium bicarbonate,Non calory,0,100,0,98,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05102,0,0.010204,0,0.010204,24.591837,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
831,soy hul loc,Fiber,0,100,0,87.58,65.40306,2.99,11.703585,25.99999915,72,20,14,1.999999263,1.701302,4.909797,30,350,40,8,0,100000,150,12,0.15,0,100,75,20,0,100,100,100,80,0,95,50,0.47,4.54,4.72,2.74,4.86,2.46,3.3,1.84,2.99,0.53,81.327358,2.808016,1.87134,1.235522,41.7,41.19999983,0.616579,0.171272,0.251199,0.039963,1.461521,0.009135,0.205526,0.137018,20.552638,0.057091,335.693081,33.112583,0.36538,54.807034,0,0,1.141813,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
832,soybean meal loc,Protein,0,100,0,87.35,9.879794,2.5,53.348598,15.00000056,55,5,2,4.000000427,1.946193,6.708643,30,300,25,6,0,100000,230,11,0.2,0,100,75,20,0,100,100,100,80,0,95,50,0.83,6.08,7.69,3.03,6.13,4.25,3.79,2.27,3.88,1.64,88.993703,3.144305,2.149754,1.473887,32.8,29.99999925,0.343446,0.858615,0.309101,0.03091,2.518603,0.034345,0.354894,0.103034,26.330853,0.148827,136.233543,33.199771,0.343446,49.227247,0,0,8.013738,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
833,urea,Non calory,0,100,0,99.7,0,0,270.812437,106.4814815,100,0,0,0,0,0.481444,0,0,0,0,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
834,vegetable oil(soy),Energy,0,100,0,99,0,0,0,0,0,0,0,0,98.989899,1.010101,0,300,30,6,0,100000,0,0,0,0,100,75,20,0,100,100,100,80,0,95,50,0,0,0,0,0,0,0,0,0,0,225.252525,8.64302,7.191404,5.501899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.7,0.16,0.9,0.9,0.9,1,1,0.4,0.85,0.1,0.0075,1,0.15,1,1,1,0,0,0,0,0,0,0,0,0
